StudentID,StudentFName,StudentLName,StudentDOB,StudentPhoneNumber,StudentEmail,StudentTypeID
25,Jean,Diaz,10/22/1993 13:19,62-(423)589-7268,jdiaz@school.edu,1
26,Keith,Reid,8/2/1991 12:16,420-(738)543-0418,kreid@school.edu,5
27,Henry,Mitchell,1/25/1996 16:04,55-(843)961-8845,hmitchell@school.edu,2
28,Terry,Palmer,1/14/1987 21:28,63-(145)241-8949,tpalmer@school.edu,4
29,Dennis,Holmes,12/3/1987 3:12,992-(370)999-3972,dholmes@school.edu,4
30,Paul,Gardner,12/18/1984 20:32,33-(970)985-1041,pgardner@school.edu,2
31,Teresa,Sanders,3/27/1991 2:26,357-(641)944-7892,tsanders@school.edu,3
32,Benjamin,Berry,2/15/1986 17:10,62-(627)897-6697,bberry@school.edu,4
33,Rose,Sanders,5/1/1992 10:01,255-(964)717-5321,rsanders@school.edu,4
34,Henry,Morales,6/21/1990 8:23,62-(712)955-6648,hmorales@school.edu,2
35,Terry,Moore,4/17/1988 19:53,1-(706)742-8550,tmoore@school.edu,2
36,Helen,Cruz,3/2/1990 2:25,7-(440)367-3123,hcruz@school.edu,3
37,Michael,Nelson,10/4/1996 11:50,33-(215)487-6357,mnelson@school.edu,4
38,Keith,Stewart,1/31/1991 20:48,46-(612)995-8135,kstewart@school.edu,4
39,Craig,Dunn,8/17/1981 7:54,383-(680)469-4170,cdunn@school.edu,4
40,Albert,Holmes,1/24/1980 22:27,86-(148)818-6023,aholmes@school.edu,5
41,Donald,Moreno,8/12/1994 19:49,7-(677)778-4141,dmoreno@school.edu,4
42,Aaron,Smith,4/23/1980 4:46,86-(977)121-4743,asmith@school.edu,4
43,Barbara,Graham,5/26/1990 15:22,55-(689)351-6097,bgraham@school.edu,3
44,Wanda,Schmidt,8/27/1982 10:28,84-(611)707-8694,wschmidt@school.edu,2
45,Carlos,Stevens,1/13/1992 8:43,86-(201)466-8804,cstevens@school.edu,4
46,Amanda,Wright,11/18/1987 5:07,30-(556)953-5800,awright@school.edu,3
47,Susan,George,7/29/1994 6:13,57-(780)548-1132,sgeorge@school.edu,1
48,Steve,Austin,10/26/1994 18:36,86-(473)927-1180,saustin@school.edu,3
49,Cheryl,Parker,7/7/1989 4:49,374-(479)425-1181,cparker@school.edu,2
50,Barbara,Owens,10/7/1990 18:45,371-(961)995-3166,bowens@school.edu,3
51,Rebecca,Lee,5/28/1991 10:41,57-(767)995-0541,rlee@school.edu,3
52,Harold,Owens,12/22/1991 19:12,7-(238)489-7741,howens@school.edu,3
53,William,Scott,7/18/1981 12:45,62-(261)727-3435,wscott@school.edu,3
54,Scott,Martinez,1/13/1982 21:54,31-(335)471-1751,smartinez@school.edu,4
55,Robert,Gibson,4/8/1985 15:51,51-(834)881-7151,rgibson@school.edu,4
56,Ashley,King,12/2/1989 19:16,62-(523)590-3718,aking@school.edu,5
57,Kevin,Cole,3/11/1991 10:51,55-(906)833-2305,kcole@school.edu,5
58,Charles,Carpenter,12/13/1988 3:38,86-(928)427-3242,ccarpenter@school.edu,5
59,Beverly,Arnold,2/13/1995 6:20,62-(857)790-4131,barnold@school.edu,5
60,Mary,Chapman,3/11/1995 10:50,385-(963)276-6608,mchapman@school.edu,3
61,Annie,Harrison,5/28/1994 4:03,82-(620)160-1437,aharrison@school.edu,2
62,Timothy,Knight,5/15/1983 4:51,994-(730)555-4979,tknight@school.edu,3
63,Jeffrey,Hawkins,6/21/1981 20:44,62-(439)226-6924,jhawkins@school.edu,2
64,Albert,Dean,11/10/1986 8:54,46-(493)653-3107,adean@school.edu,1
65,Henry,Fisher,11/11/1985 10:27,54-(190)280-3324,hfisher@school.edu,5
66,Joshua,Lane,11/1/1984 2:15,48-(229)483-0002,jlane@school.edu,2
67,Lori,Ward,2/14/1990 10:57,48-(498)210-2073,lward@school.edu,1
68,Ruth,Fowler,9/22/1982 16:31,880-(412)269-8064,rfowler@school.edu,5
69,Rebecca,Watkins,9/26/1994 0:49,86-(801)882-1616,rwatkins@school.edu,2
70,Wayne,Walker,7/8/1982 14:31,63-(975)775-1652,wwalker@school.edu,3
71,Beverly,Sullivan,1/12/1992 3:57,86-(517)429-1033,bsullivan@school.edu,2
72,Joshua,Hicks,10/11/1989 19:15,98-(821)274-8939,jhicks@school.edu,1
73,Brian,Price,7/28/1990 2:54,86-(301)588-0730,bprice@school.edu,4
74,Peter,Scott,6/11/1988 20:35,420-(960)734-9317,pscott@school.edu,3
75,Janice,Parker,10/19/1980 0:29,55-(474)819-8174,jparker@school.edu,1
76,Louise,James,4/14/1987 20:12,358-(222)474-2128,ljames@school.edu,4
77,Larry,Ryan,8/9/1987 13:54,81-(104)253-3297,lryan@school.edu,1
78,Stephen,Phillips,4/25/1995 5:21,381-(997)390-3860,sphillips@school.edu,4
79,Raymond,Chapman,10/2/1997 9:56,385-(605)442-6253,rchapman@school.edu,2
80,Lawrence,Hansen,12/14/1994 10:04,86-(253)808-2255,lhansen@school.edu,3
81,Julia,Wallace,4/1/1985 9:49,420-(607)697-9800,jwallace@school.edu,4
82,Joe,Scott,5/13/1984 4:30,86-(703)802-5222,jscott@school.edu,3
83,Billy,Fowler,4/21/1993 1:12,86-(421)822-8193,bfowler@school.edu,1
84,Louise,Hicks,5/4/1981 14:25,7-(218)548-9411,lhicks@school.edu,2
85,Andrea,Lee,4/6/1980 21:27,62-(599)790-9894,alee@school.edu,3
86,Albert,Green,10/6/1990 11:45,236-(728)990-0657,agreen@school.edu,2
87,Sarah,Perez,2/3/1985 15:05,86-(545)643-8093,sperez@school.edu,5
88,Carolyn,Lee,10/27/1995 17:11,46-(811)661-1380,clee@school.edu,2
89,Jerry,Thompson,12/4/1981 18:44,52-(796)507-6262,jthompson@school.edu,3
90,Joyce,Ford,8/20/1984 13:47,48-(444)512-7221,jford@school.edu,4
91,Anthony,Jordan,5/12/1996 12:51,62-(941)465-8126,ajordan@school.edu,3
92,Judy,Graham,11/8/1982 14:41,7-(614)159-7284,jgraham@school.edu,1
93,Debra,Howard,8/18/1991 1:27,56-(784)797-1373,dhoward@school.edu,2
94,Carl,Ray,6/4/1983 11:01,976-(367)597-2384,cray@school.edu,5
95,Robin,Torres,7/22/1980 7:59,504-(676)412-5164,rtorres@school.edu,3
96,Jacqueline,Moore,2/17/1983 5:24,51-(200)159-7004,jmoore@school.edu,4
97,Cynthia,Martinez,2/26/1987 16:51,86-(619)119-8081,cmartinez@school.edu,3
98,Frances,Butler,6/18/1985 16:30,62-(689)618-8052,fbutler@school.edu,4
99,Louise,Lopez,10/4/1981 5:54,33-(440)339-0311,llopez@school.edu,4
100,Lori,Hansen,6/17/1983 8:26,371-(741)344-9992,lhansen@school.edu,3
101,Judy,Ruiz,3/28/1981 0:17,51-(722)543-1363,jruiz@school.edu,5
102,Harry,Moore,11/23/1997 8:41,86-(896)370-3188,hmoore@school.edu,3
103,Scott,Knight,4/1/1989 8:33,55-(286)586-7926,sknight@school.edu,5
104,Norma,Vasquez,9/5/1991 19:51,55-(931)433-6968,nvasquez@school.edu,2
105,Rebecca,Stephens,5/18/1995 1:13,48-(515)549-5375,rstephens@school.edu,2
106,Judith,Wilson,11/22/1980 20:21,62-(227)563-8806,jwilson@school.edu,3
107,Daniel,Cruz,4/6/1990 20:02,7-(586)230-4102,dcruz@school.edu,3
108,Ann,Sullivan,4/18/1989 4:40,351-(828)544-4939,asullivan@school.edu,5
109,James,Walker,10/6/1984 18:56,92-(441)388-6944,jwalker@school.edu,5
110,Ann,White,9/11/1982 13:07,230-(274)896-5741,awhite@school.edu,2
111,Laura,Reyes,8/19/1988 13:27,86-(162)705-0731,lreyes@school.edu,4
112,Samuel,Harvey,9/15/1993 3:08,55-(768)905-4361,sharvey@school.edu,5
113,Philip,Gibson,8/12/1994 11:50,57-(533)316-5409,pgibson@school.edu,4
114,Adam,Diaz,6/17/1983 21:22,86-(613)432-9664,adiaz@school.edu,4
115,Nicole,Hunt,1/29/1995 18:50,66-(510)353-8225,nhunt@school.edu,3
116,Brian,Carr,3/26/1996 16:03,33-(621)606-5493,bcarr@school.edu,4
117,Paula,Mccoy,9/26/1984 22:05,7-(338)401-0799,pmccoy@school.edu,4
118,Norma,Fields,7/13/1990 18:48,7-(494)342-0984,nfields@school.edu,5
119,Anna,Rivera,8/11/1981 23:08,33-(117)501-9030,arivera@school.edu,2
120,Michelle,Greene,6/14/1989 8:11,86-(672)895-1193,mgreene@school.edu,3
121,Deborah,Kennedy,6/11/1980 23:48,86-(640)650-7903,dkennedy@school.edu,2
122,Rachel,Andrews,8/4/1988 7:44,998-(990)274-6684,randrews@school.edu,3
123,Betty,Harrison,6/4/1987 3:29,55-(121)606-4793,bharrison@school.edu,5
124,Theresa,Fisher,5/25/1982 9:19,7-(190)812-0388,tfisher@school.edu,3
125,Cynthia,Griffin,10/27/1985 17:48,33-(347)773-5195,cgriffin@school.edu,2
126,Scott,Hicks,3/18/1992 13:20,86-(445)377-1178,shicks@school.edu,5
127,Debra,Kennedy,9/27/1980 10:12,372-(724)386-9711,dkennedy@school.edu,3
128,Willie,Miller,6/26/1981 10:42,55-(999)160-7410,wmiller@school.edu,4
129,Steven,Barnes,11/5/1987 6:10,57-(197)231-8996,sbarnes@school.edu,1
130,Justin,Hunter,9/23/1986 5:56,81-(103)434-2283,jhunter@school.edu,2
131,Carl,Ryan,7/25/1986 1:18,86-(140)401-8726,cryan@school.edu,3
132,Johnny,Anderson,5/15/1983 23:34,63-(686)681-1309,janderson@school.edu,2
133,Denise,Marshall,6/2/1985 20:24,46-(511)647-2543,dmarshall@school.edu,2
134,Eugene,Simpson,2/1/1984 11:06,62-(268)348-7387,esimpson@school.edu,4
135,John,Owens,1/24/1985 23:29,52-(456)382-9799,jowens@school.edu,3
136,Sara,Holmes,4/18/1987 18:51,509-(881)344-9174,sholmes@school.edu,4
137,Sean,Parker,4/16/1983 14:12,351-(895)932-0488,sparker@school.edu,5
138,Tammy,Lane,10/29/1980 15:50,92-(379)734-6887,tlane@school.edu,1
139,Harold,Gonzalez,6/12/1997 15:22,62-(469)999-1300,hgonzalez@school.edu,4
140,Kelly,Kelley,9/12/1985 2:33,86-(566)418-3981,kkelley@school.edu,1
141,Cheryl,Fox,6/12/1996 17:30,86-(454)615-8662,cfox@school.edu,1
142,Alice,Castillo,12/18/1988 14:08,7-(965)226-0974,acastillo@school.edu,3
143,Catherine,Grant,2/14/1980 0:19,57-(996)478-1125,cgrant@school.edu,3
144,Cheryl,Jones,8/3/1992 15:15,381-(176)432-8424,cjones@school.edu,5
145,Albert,Ford,7/16/1988 19:39,57-(274)939-3988,aford@school.edu,2
146,Wayne,Wagner,10/5/1987 10:36,63-(325)649-3947,wwagner@school.edu,4
147,Bobby,Garcia,4/24/1986 1:52,63-(703)693-7371,bgarcia@school.edu,2
148,Julie,Howell,11/19/1994 0:09,420-(705)684-8041,jhowell@school.edu,4
149,Teresa,Walker,1/30/1983 1:02,30-(525)546-5298,twalker@school.edu,4
150,Alice,Medina,12/1/1987 16:57,994-(378)961-5565,amedina@school.edu,4
151,Amanda,Greene,7/3/1980 14:01,86-(978)656-9405,agreene@school.edu,4
152,Tammy,Graham,6/16/1986 5:00,998-(889)371-3861,tgraham@school.edu,2
153,Eric,Crawford,11/18/1983 14:53,385-(420)172-0155,ecrawford@school.edu,4
154,Teresa,Wood,5/28/1997 9:36,62-(322)706-4433,twood@school.edu,2
155,Samuel,Rose,12/11/1987 5:42,86-(387)917-7366,srose@school.edu,3
156,Kathleen,Hunt,12/12/1991 2:12,86-(951)391-4648,khunt@school.edu,3
157,Kenneth,Smith,2/16/1985 19:23,54-(717)646-9629,ksmith@school.edu,4
158,Alan,Collins,6/24/1995 20:52,81-(149)111-3728,acollins@school.edu,4
159,Billy,Mason,3/30/1984 13:52,263-(713)843-1941,bmason@school.edu,4
160,Eugene,Robinson,12/30/1984 22:09,351-(636)877-4481,erobinson@school.edu,3
161,Laura,Garcia,4/25/1992 18:15,63-(572)355-0498,lgarcia@school.edu,4
162,Harold,Moore,4/20/1990 10:27,382-(225)855-4010,hmoore@school.edu,4
163,Janet,Rice,1/12/1990 7:47,265-(908)375-0330,jrice@school.edu,4
164,Dorothy,Lee,6/27/1986 11:47,62-(266)230-8147,dlee@school.edu,1
165,Willie,Willis,1/31/1985 17:30,55-(559)894-6106,wwillis@school.edu,4
166,Harold,Miller,10/10/1990 8:09,62-(108)422-2775,hmiller@school.edu,3
167,Anne,Kim,10/25/1988 18:07,66-(568)715-0400,akim@school.edu,3
168,Johnny,Simpson,6/28/1986 2:26,57-(484)749-2427,jsimpson@school.edu,3
169,Johnny,Meyer,6/27/1984 20:22,7-(832)393-5689,jmeyer@school.edu,3
170,Judith,Howell,3/12/1988 16:45,63-(820)721-6333,jhowell@school.edu,3
171,Marie,Duncan,6/9/1997 9:43,48-(467)927-7558,mduncan@school.edu,2
172,Craig,Knight,5/12/1989 23:16,351-(978)716-7757,cknight@school.edu,4
173,Joyce,Jordan,7/21/1988 2:26,93-(759)235-4024,jjordan@school.edu,1
174,Gerald,Tucker,7/3/1980 15:49,86-(644)739-2184,gtucker@school.edu,3
175,Sara,Morris,8/14/1995 3:46,358-(805)214-8223,smorris@school.edu,5
176,Brenda,Day,3/22/1995 8:23,7-(245)230-5803,bday@school.edu,3
177,Howard,Alexander,4/14/1982 8:34,352-(958)138-5082,halexander@school.edu,1
178,Emily,Perkins,9/1/1986 4:50,970-(852)505-4644,eperkins@school.edu,4
179,Jerry,Ward,7/14/1983 19:47,86-(396)225-6389,jward@school.edu,3
180,Roy,Hayes,5/9/1992 22:37,353-(955)375-6452,rhayes@school.edu,5
181,Phillip,Fernandez,4/19/1990 19:13,33-(107)849-2227,pfernandez@school.edu,2
182,Ernest,Lynch,2/23/1985 16:40,86-(450)572-7087,elynch@school.edu,4
183,Kimberly,Meyer,6/1/1991 21:03,358-(118)304-3183,kmeyer@school.edu,4
184,Louis,Woods,12/1/1981 4:31,62-(162)806-4471,lwoods@school.edu,4
185,Ronald,Cruz,5/25/1981 9:01,86-(927)127-9303,rcruz@school.edu,4
186,Donald,Wheeler,12/28/1987 2:15,86-(733)213-0947,dwheeler@school.edu,4
187,Richard,Murphy,4/23/1997 2:39,84-(732)606-8868,rmurphy@school.edu,1
188,Harold,Porter,3/20/1991 14:51,420-(468)973-5765,hporter@school.edu,4
189,Mark,Perez,5/5/1982 10:19,86-(837)878-7172,mperez@school.edu,4
190,Frank,Larson,3/21/1996 19:02,63-(950)317-8037,flarson@school.edu,3
191,Roy,Butler,3/21/1983 0:49,62-(968)806-8541,rbutler@school.edu,2
192,Jose,Hanson,4/7/1986 18:41,62-(624)838-3727,jhanson@school.edu,3
193,Brian,Boyd,3/11/1982 16:39,55-(978)832-3102,bboyd@school.edu,3
194,Kathryn,Hansen,10/25/1987 22:53,46-(135)866-7732,khansen@school.edu,4
195,Dennis,Hawkins,6/2/1994 17:08,66-(234)724-1712,dhawkins@school.edu,3
196,Peter,Daniels,2/1/1988 1:25,27-(161)590-2415,pdaniels@school.edu,2
197,Christina,Matthews,10/19/1994 16:46,86-(437)170-7189,cmatthews@school.edu,5
198,Timothy,Lane,8/30/1983 14:32,62-(258)449-9373,tlane@school.edu,1
199,Marilyn,Cook,9/26/1982 9:23,57-(559)254-6609,mcook@school.edu,2
200,Gary,Hawkins,12/1/1997 15:09,7-(671)952-5250,ghawkins@school.edu,5
201,Adam,Willis,5/1/1980 15:30,44-(865)633-8075,awillis@school.edu,2
202,Martha,Nichols,4/2/1980 4:53,66-(627)967-8093,mnichols@school.edu,1
203,Helen,Stevens,3/24/1990 14:09,351-(822)403-7681,hstevens@school.edu,2
204,Chris,Richardson,12/12/1991 19:49,55-(991)702-0248,crichardson@school.edu,5
205,Julia,Franklin,6/23/1982 15:31,261-(980)303-9938,jfranklin@school.edu,3
206,Louise,Dunn,7/25/1996 1:15,63-(578)650-7399,ldunn@school.edu,3
207,Andrea,Simpson,2/22/1983 14:52,57-(151)964-3388,asimpson@school.edu,2
208,Roy,Griffin,9/16/1987 11:42,7-(388)113-9766,rgriffin@school.edu,2
209,Mark,Ortiz,11/28/1990 11:35,48-(246)961-5579,mortiz@school.edu,5
210,Teresa,Hawkins,3/18/1993 10:40,55-(938)347-0255,thawkins@school.edu,4
211,Jean,Clark,3/27/1980 3:04,358-(278)475-7345,jclark@school.edu,4
212,Paula,Mitchell,4/27/1989 6:44,591-(574)425-6607,pmitchell@school.edu,4
213,Betty,Ramirez,7/20/1982 18:04,381-(734)832-1237,bramirez@school.edu,3
214,Kathy,James,11/1/1992 14:15,62-(812)686-7642,kjames@school.edu,3
215,Louis,Ward,4/14/1985 15:55,55-(555)943-2556,lward@school.edu,1
216,Mary,Stanley,6/18/1983 0:40,593-(290)699-6399,mstanley@school.edu,5
217,Mark,Owens,2/4/1984 2:02,216-(396)630-9625,mowens@school.edu,5
218,Edward,Patterson,2/21/1983 11:31,972-(341)118-6661,epatterson@school.edu,3
219,Phyllis,Banks,10/19/1989 1:30,48-(732)838-1742,pbanks@school.edu,5
220,Jane,Willis,9/25/1988 11:14,62-(134)955-7594,jwillis@school.edu,1
221,Lisa,Kelly,12/14/1983 10:22,84-(881)757-0839,lkelly@school.edu,2
222,Peter,Peters,10/19/1981 23:47,62-(716)237-4435,ppeters@school.edu,2
223,Barbara,Perez,9/5/1993 20:41,63-(820)256-1081,bperez@school.edu,2
224,Clarence,Banks,7/26/1985 1:16,216-(374)843-6459,cbanks@school.edu,1
225,Andrew,Ramos,6/6/1985 1:54,86-(750)543-5321,aramos@school.edu,3
226,Sandra,Garza,6/14/1990 12:42,976-(830)133-9181,sgarza@school.edu,4
227,Tina,Bishop,12/27/1988 5:32,34-(908)107-0925,tbishop@school.edu,3
228,Sean,Pierce,10/7/1986 1:13,57-(882)947-1411,spierce@school.edu,4
229,Anna,Palmer,12/31/1983 13:38,62-(610)230-7328,apalmer@school.edu,3
230,Alan,Edwards,9/17/1985 16:35,63-(463)193-0944,aedwards@school.edu,2
231,Beverly,Peterson,4/3/1993 3:04,62-(497)160-5705,bpeterson@school.edu,3
232,Susan,Welch,12/21/1988 20:41,57-(601)755-4748,swelch@school.edu,4
233,Jack,Hayes,2/13/1986 21:48,86-(343)709-8115,jhayes@school.edu,5
234,Deborah,Hughes,11/2/1980 3:07,86-(343)773-5658,dhughes@school.edu,4
235,Kimberly,Thompson,5/22/1995 15:38,420-(205)990-1633,kthompson@school.edu,5
236,Ann,Long,2/5/1997 0:08,48-(290)528-4269,along@school.edu,4
237,Anna,Campbell,1/28/1988 3:31,93-(295)384-8226,acampbell@school.edu,4
238,Matthew,Chapman,12/12/1992 2:23,238-(838)537-9946,mchapman@school.edu,3
239,Antonio,Henry,9/10/1987 9:57,86-(586)419-2766,ahenry@school.edu,4
240,Cheryl,Larson,11/25/1996 12:19,62-(663)884-2838,clarson@school.edu,2
241,Harry,Mills,5/27/1993 5:32,54-(611)338-3066,hmills@school.edu,2
242,Lillian,Rose,6/9/1983 21:10,33-(419)255-4439,lrose@school.edu,3
243,Christina,Hawkins,6/29/1983 22:31,30-(925)173-2414,chawkins@school.edu,4
244,Stephen,Rice,10/1/1982 1:26,33-(863)118-8431,srice@school.edu,2
245,Larry,Powell,2/26/1981 18:09,62-(681)914-2420,lpowell@school.edu,2
246,Julie,Hamilton,11/7/1982 23:53,52-(234)847-3231,jhamilton@school.edu,1
247,Wanda,Wood,6/8/1996 5:11,960-(966)217-5262,wwood@school.edu,1
248,Christina,Graham,4/22/1988 18:28,55-(467)598-6742,cgraham@school.edu,2
249,Pamela,Snyder,11/8/1992 13:42,86-(938)501-1719,psnyder@school.edu,5
250,Emily,Moreno,7/25/1982 17:10,86-(879)904-2449,emoreno@school.edu,4
251,Anne,Ellis,2/7/1987 11:54,62-(191)530-6521,aellis@school.edu,2
252,Irene,Palmer,7/26/1986 18:54,54-(974)943-2335,ipalmer@school.edu,1
253,Annie,Harper,8/13/1990 22:07,53-(519)609-0119,aharper@school.edu,1
254,Julie,Young,6/3/1980 21:13,86-(406)989-4851,jyoung@school.edu,1
255,Marie,Reyes,3/28/1992 1:40,92-(688)149-4634,mreyes@school.edu,2
256,Chris,George,9/23/1991 13:11,86-(917)361-0184,cgeorge@school.edu,2
257,Marilyn,Perry,3/18/1987 2:18,32-(918)966-2764,mperry@school.edu,3
258,Charles,Fisher,8/6/1985 6:35,62-(456)940-2660,cfisher@school.edu,2
259,Bonnie,King,10/24/1988 8:58,86-(494)713-0088,bking@school.edu,5
260,Theresa,Washington,10/12/1981 3:05,1-(818)488-0871,twashington@school.edu,2
261,Irene,Brooks,7/11/1986 2:51,370-(138)740-8898,ibrooks@school.edu,3
262,Kathryn,Armstrong,6/14/1986 11:28,1-(115)165-6468,karmstrong@school.edu,3
263,Eugene,Fox,5/14/1988 4:03,48-(983)435-6750,efox@school.edu,4
264,Carlos,Ortiz,1/28/1981 18:58,86-(440)103-0076,cortiz@school.edu,1
265,Joan,Young,10/27/1990 1:02,7-(424)306-2044,jyoung@school.edu,3
266,Juan,White,8/30/1989 6:49,86-(577)816-6954,jwhite@school.edu,3
267,James,Armstrong,6/1/1991 15:27,33-(442)184-5582,jarmstrong@school.edu,2
268,Clarence,Garcia,10/8/1986 18:46,380-(275)593-0107,cgarcia@school.edu,4
269,Henry,Harrison,1/23/1990 22:01,66-(286)926-6286,hharrison@school.edu,4
270,Jimmy,Hill,2/25/1986 20:59,30-(608)788-6274,jhill@school.edu,3
271,Victor,Jones,9/29/1990 3:01,994-(319)352-6048,vjones@school.edu,3
272,Anthony,Crawford,8/7/1990 17:12,62-(815)811-1543,acrawford@school.edu,2
273,Rose,Hudson,4/23/1988 4:42,52-(937)200-9992,rhudson@school.edu,1
274,Timothy,Payne,1/3/1990 12:52,46-(664)113-8820,tpayne@school.edu,4
275,Joan,Carroll,2/16/1989 17:44,81-(554)948-1572,jcarroll@school.edu,5
276,Jonathan,Hughes,5/23/1981 6:59,47-(187)617-9051,jhughes@school.edu,2
277,Ruby,Weaver,12/9/1990 22:19,48-(122)682-0145,rweaver@school.edu,4
278,Russell,Gardner,1/14/1986 15:36,351-(460)740-3199,rgardner@school.edu,2
279,Norma,Stanley,4/3/1988 20:39,351-(307)621-9978,nstanley@school.edu,5
280,Gloria,Rogers,1/22/1991 23:00,86-(313)776-6961,grogers@school.edu,4
281,Michelle,Murray,12/31/1985 21:54,375-(620)330-0703,mmurray@school.edu,2
282,Louise,Parker,5/27/1980 0:00,86-(208)308-0856,lparker@school.edu,4
283,Sandra,Freeman,4/6/1982 1:24,375-(379)220-6232,sfreeman@school.edu,1
284,Janet,Reynolds,3/12/1984 12:36,62-(298)423-5865,jreynolds@school.edu,2
285,Wayne,Ortiz,9/7/1993 6:43,970-(822)710-5303,wortiz@school.edu,3
286,Bonnie,Watkins,9/8/1992 18:06,357-(155)563-9754,bwatkins@school.edu,4
287,Robin,Campbell,5/13/1985 14:45,359-(350)514-0925,rcampbell@school.edu,4
288,Christopher,Bailey,1/30/1994 17:32,212-(297)740-3961,cbailey@school.edu,4
289,Cynthia,Evans,10/21/1989 9:18,46-(208)324-3100,cevans@school.edu,2
290,Catherine,Henderson,3/16/1997 11:26,86-(595)322-4042,chenderson@school.edu,1
291,Kimberly,Lawson,1/24/1995 4:01,1-(208)348-0688,klawson@school.edu,2
292,Janice,Castillo,1/9/1982 2:15,62-(248)645-3011,jcastillo@school.edu,2
293,Paul,Howell,10/30/1985 1:37,359-(138)100-5496,phowell@school.edu,1
294,Cynthia,Little,1/26/1981 19:11,7-(589)237-5097,clittle@school.edu,1
295,Judith,Payne,6/1/1996 1:20,1-(583)242-0066,jpayne@school.edu,5
296,Kimberly,Jackson,5/22/1993 8:25,420-(641)583-9880,kjackson@school.edu,3
297,Betty,Frazier,3/23/1995 4:17,62-(692)588-9594,bfrazier@school.edu,2
298,Gary,Duncan,10/13/1996 6:18,46-(197)320-5670,gduncan@school.edu,3
299,Debra,Rice,8/6/1991 20:58,86-(616)827-5088,drice@school.edu,2
300,Patrick,Reynolds,1/20/1989 9:10,386-(695)270-5436,preynolds@school.edu,1
301,Dennis,Dixon,12/20/1995 20:43,351-(335)251-7509,ddixon@school.edu,2
302,Shawn,Watkins,1/17/1997 14:16,86-(534)279-0802,swatkins@school.edu,3
303,Gary,Butler,5/26/1995 5:42,33-(760)437-5348,gbutler@school.edu,2
304,Anne,Phillips,8/22/1994 6:51,7-(949)916-1544,aphillips@school.edu,3
305,Beverly,Armstrong,2/10/1997 6:04,504-(748)764-8462,barmstrong@school.edu,4
306,Douglas,Edwards,3/10/1994 23:08,972-(692)540-7401,dedwards@school.edu,3
307,Jennifer,Evans,3/2/1986 15:55,7-(927)443-4838,jevans@school.edu,3
308,Patricia,Ferguson,6/5/1980 0:46,62-(968)482-5165,pferguson@school.edu,4
309,Nicholas,Parker,9/24/1995 8:18,55-(466)835-9248,nparker@school.edu,3
310,Norma,Jacobs,8/19/1995 6:00,62-(456)139-0566,njacobs@school.edu,2
311,Ryan,Simpson,12/9/1982 23:03,86-(709)909-2585,rsimpson@school.edu,4
312,Nicholas,Davis,4/1/1990 9:28,86-(431)802-4040,ndavis@school.edu,4
313,Andrea,Fox,1/13/1980 5:45,1-(138)720-0558,afox@school.edu,3
314,Lois,Cruz,6/18/1996 1:05,54-(908)878-6896,lcruz@school.edu,4
315,Angela,Fox,11/15/1982 22:46,55-(326)481-0184,afox@school.edu,3
316,Michael,Meyer,6/27/1985 11:26,56-(974)369-5138,mmeyer@school.edu,2
317,Jane,Gardner,12/26/1995 22:17,84-(457)247-9740,jgardner@school.edu,1
